"","site_location_name","Grass","Shrub","Tree","vegetation_type"
"467","SAAMDD0010",8.65,10.25,32.4,"Tree"
"468","SAAMDD0011",4.85,25.95,1.75,"Shrub"
"469","SAANUL0001",10.8,14.1,0,"Shrub"
"470","SAANUL0002",5.5,22.1,2.8,"Shrub"
"471","SAANUL0003",24.2,12.1,0,"Grass"
"472","SAANUL0004",13.9,15.1,0,"Shrub"
"473","SAANUL0005",25.8,0.1,0,"Grass"
"474","SAARIV0001",3.43333333333333,6.3,65.1,"Tree"
"475","SAARIV0002",4.05,8.65,63.8,"Tree"
"476","SAARIV0003",3.75,21.3,35,"Tree"
